Title & Author,Link,Tropes
"Red, White & Royal Blue (Paperback) by Casey McQuiston",https://www.goodreads.com/book/show/41150487-red-white-royal-blue,"romance, lgbt, contemporary, fiction, queer, young adult, enemies to lovers"
Book Lovers (Hardcover) by Emily Henry,https://www.goodreads.com/book/show/58690308-book-lovers,"romance, fiction, contemporary, audiobook, contemporary romance, adult, chick lit"
The Hating Game (Paperback) by Sally  Thorne,https://www.goodreads.com/book/show/27213238-the-hating-game,"romance, contemporary, enemies to lovers, contemporary romance, fiction, chick lit, adult"
"Twilight (The Twilight Saga, #1) by Stephenie Meyer",https://www.goodreads.com/book/show/41865.Twilight,"fantasy, young adult, romance, fiction, vampires, paranormal, paranormal romance"
Happy Place (Hardcover) by Emily Henry,https://www.goodreads.com/book/show/61718053-happy-place,"romance, fiction, contemporary, audiobook, contemporary romance, adult, chick lit"
"Twisted Love (Twisted, #1) by Ana Huang",https://www.goodreads.com/book/show/62057697-twisted-love,"romance, dark romance, contemporary, contemporary romance, audiobook, fiction, love"
"The Deal (Off-Campus, #1) by Elle Kennedy",https://www.goodreads.com/book/show/45484397-the-deal,"romance, sports romance, new adult, sports, contemporary, college, contemporary romance"
"Me Before You (Me Before You, #1) by Jojo Moyes",https://www.goodreads.com/book/show/17347634-me-before-you,"romance, fiction, contemporary, chick lit, adult, audiobook, adult fiction"
Funny Story (Kindle Edition) by Emily Henry,https://www.goodreads.com/book/show/194802722-funny-story,"romance, fiction, audiobook, contemporary, contemporary romance, adult, chick lit"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2) by Sarah J. Maas",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,"fantasy, romance, young adult, romantasy, fiction, new adult, fae"
"The Selection (The Selection, #1) by Kiera Cass",https://www.goodreads.com/book/show/10507293-the-selection,"romance, young adult, dystopia, fantasy, fiction, audiobook, science fiction"
"Love, Theoretically (Paperback) by Ali Hazelwood",https://www.goodreads.com/book/show/61326735-love-theoretically,"romance, contemporary, contemporary romance, fiction, enemies to lovers, audiobook, adult"
"New Moon (The Twilight Saga, #2) by Stephenie Meyer",https://www.goodreads.com/book/show/49041.New_Moon,"fantasy, young adult, romance, vampires, fiction, paranormal, paranormal romance"
Love and Other Words (Hardcover) by Christina Lauren,https://www.goodreads.com/book/show/36206591-love-and-other-words,"romance, contemporary, friends to lovers, fiction, contemporary romance, second chance, audiobook"
The Song of Achilles (Paperback) by Madeline Miller,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,"fantasy, historical fiction, romance, fiction, mythology, lgbt, queer"
"Eclipse (The Twilight Saga, #3) by Stephenie Meyer",https://www.goodreads.com/book/show/428263.Eclipse,"fantasy, young adult, romance, vampires, fiction, paranormal, paranormal romance"
Eleanor & Park (Hardcover) by Rainbow Rowell,https://www.goodreads.com/book/show/15745753-eleanor-park,"young adult, romance, fiction, contemporary, realistic fiction, audiobook, coming of age"
"Breaking Dawn (The Twilight Saga, #4) by Stephenie Meyer",https://www.goodreads.com/book/show/1162543.Breaking_Dawn,"fantasy, young adult, romance, vampires, fiction, paranormal, paranormal romance"
"Outlander (Outlander, #1) by Diana Gabaldon",https://www.goodreads.com/book/show/10964.Outlander,"historical fiction, romance, fantasy, fiction, time travel, historical, historical romance"
Better Than the Movies (Better Than the Movies #1) by Lynn Painter,https://www.goodreads.com/book/show/55710822-better-than-the-movies,"romance, young adult, contemporary, enemies to lovers, fiction, audiobook, contemporary romance"
"Get a Life, Chloe Brown (The Brown Sisters, #1) by Talia Hibbert",https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown,"romance, contemporary, fiction, audiobook, adult, contemporary romance, chick lit"
"The Notebook (The Notebook, #1) by Nicholas Sparks",https://www.goodreads.com/book/show/33648131-the-notebook,"romance, fiction, chick lit, contemporary, adult, classics, adult fiction"
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1) by Jenny Han",https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before,"romance, contemporary, young adult, fiction, audiobook, chick lit, realistic fiction"
The Flatshare (Hardcover) by Beth O'Leary,https://www.goodreads.com/book/show/36478784-the-flatshare,"romance, contemporary, fiction, audiobook, chick lit, contemporary romance, adult"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3) by Sarah J. Maas",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,"fantasy, romance, romantasy, young adult, fiction, new adult, fae"
Archer's Voice (ebook) by Mia Sheridan,https://www.goodreads.com/book/show/32822135-archer-s-voice,"romance, contemporary, contemporary romance, new adult, friends to lovers, fiction, audiobook"
"Twisted Games (Twisted, #2) by Ana Huang",https://www.goodreads.com/book/show/62056013-twisted-games,"romance, contemporary, contemporary romance, enemies to lovers, audiobook, dark romance, fiction"
"The Elite (The Selection, #2) by Kiera Cass",https://www.goodreads.com/book/show/16248068-the-elite,"romance, young adult, dystopia, fantasy, fiction, audiobook, science fiction"
"The Summer I Turned Pretty (Summer, #1) by Jenny Han",https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty,"romance, young adult, contemporary, fiction, audiobook, chick lit, young adult romance"
"Fifty Shades Darker (Fifty Shades, #2) by E.L. James",https://www.goodreads.com/book/show/11857408-fifty-shades-darker,"romance, fiction, erotica, bdsm, adult, contemporary, contemporary romance"
"An Offer From a Gentleman (Bridgertons, #3) by Julia Quinn",https://www.goodreads.com/book/show/9408584-an-offer-from-a-gentleman,"romance, historical romance, historical fiction, historical, fiction, audiobook, regency"
Bride (Kindle Edition) by Ali Hazelwood,https://www.goodreads.com/book/show/181344829-bride,"romance, fantasy, paranormal, vampires, romantasy, paranormal romance, audiobook"
